#Created using genes_of_rxns.pl on Monday, October 23rd, 2023.
Reaction ID	gene
PREPHENATEDEHYDROG-RXN	b2600
SEDOBISALDOL-RXN	b2925
DEOXYINOPHOSPHOR-RXN	b4384
RXN0-3962	b3588
RXN-17391	b1193
RXN-17391	b2813
RXN-17391	b2701
RXN-17391	b2963
RXN-17391	b0211
RXN-17391	b4392
RXN-17391	b2558
PUTTRANSAM-RXN	b3073
SUCCGLUDESUCC-RXN	b1744
DIAMTRANSAM-RXN	b3073
RXN0-4841	b3373
QUINOLINATE-SYNTHA-RXN	b0750
THI-P-KIN-RXN	b0417
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	b1961
RXN0-5100	b1158
RXN-17781	b3846
RXN-17781	b2341
RIBOFLAVINKIN-RXN	b0025
THYMIDYLATESYN-RXN	b2827
ENOYL-COA-DELTA-ISOM-RXN	b2341
ENOYL-COA-DELTA-ISOM-RXN	b3846
RXN0-5129	b3629
RXN-17797	b3846
RXN-17797	b2341
RXN-10040	b0347
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	b2318
FGAMSYN-RXN	b2557
RXN0-5199	b4384
RXN0-5199	b2407
RXN0-5199	b0391
RXN-17930	b3420
RXN-11326	b3624
UDPKIN-RXN	b2518
UDPKIN-RXN	b0474
GALACTOKIN-RXN	b0757
RXN0-5228	b1325
2-DEHYDROPANTOATE-REDUCT-RXN	b0425
2-DEHYDROPANTOATE-REDUCT-RXN	b3774
RXN-18241	b0480
RXN-11593	b1835
UROPORIIIMETHYLTRANSA-RXN	b3368
GLCNACPTRANS-RXN	b3784
RXN0-5329	b4310
2.4.1.78-RXN	b2351
RXN-18738	b2212
RXN-11832	b0910
GLUTAMIDOTRANS-RXN	b2023
GLUTAMIDOTRANS-RXN	b2025
RXN0-5410	b3001
2.7.9.3-RXN	b1764
RXN-19312	b3821
RXN-19312	b3825
RXN-11867	b2532
GLYCDEH-RXN	b3945
RXN0-6256	b2302
